youtube_id,original_name,new_name,new_path
7iCczf3fHWY,7iCczf3fHWY_frames000002809.jpeg,21236bce-409a-430a-a501-ae21664a97fb.jpeg,grouped_dataset/group_12/21236bce-409a-430a-a501-ae21664a97fb.jpeg
mccAZepwlyk,mccAZepwlyk_00229.jpeg,61575376-f5cf-4704-969a-e174e5fff30c.jpeg,grouped_dataset/group_13/61575376-f5cf-4704-969a-e174e5fff30c.jpeg
aLg98S4sxsE,aLg98S4sxsE_frames000001203.jpeg,d55fd10c-3934-46c3-b6ac-5317cc355300.jpeg,grouped_dataset/group_14/d55fd10c-3934-46c3-b6ac-5317cc355300.jpeg
B3nfjlD1zvk,B3nfjlD1zvk_frames000004493.jpeg,32e5757e-b647-4b7d-bb49-18f830459818.jpeg,grouped_dataset/group_15/32e5757e-b647-4b7d-bb49-18f830459818.jpeg
NXZDG7iD1-U,NXZDG7iD1-U_00025.jpeg,855d27b1-1992-4ceb-b71b-33756028ebb2.jpeg,grouped_dataset/group_16/855d27b1-1992-4ceb-b71b-33756028ebb2.jpeg
FBHGV24szs4,FBHGV24szs4_frames000002636.jpeg,4b7af521-d776-4bc8-b413-01dd7bd832b3.jpeg,grouped_dataset/group_17/4b7af521-d776-4bc8-b413-01dd7bd832b3.jpeg
-vZm2AxTFdE,-vZm2AxTFdE_00009.jpeg,be842026-2e37-4ab7-92eb-0c05efb9188a.jpeg,grouped_dataset/group_18/be842026-2e37-4ab7-92eb-0c05efb9188a.jpeg
ixllGOX0Evw,ixllGOX0Evw_frames000003668.jpeg,88185112-2677-488b-954c-d44a25cd9bd7.jpeg,grouped_dataset/group_19/88185112-2677-488b-954c-d44a25cd9bd7.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000007641.jpeg,a6a2eda5-1ce5-4ab6-96d7-18d4add1f1d1.jpeg,grouped_dataset/group_20/a6a2eda5-1ce5-4ab6-96d7-18d4add1f1d1.jpeg
cn_taKva-AQ,cn_taKva-AQ_frames000001017.jpeg,a1cb0523-9037-480b-80b4-641725778f3f.jpeg,grouped_dataset/group_21/a1cb0523-9037-480b-80b4-641725778f3f.jpeg
toc-YQLDIZ8,toc-YQLDIZ8_frames000002312.jpeg,f1d30aa1-fc59-4c3a-94cd-e95e5eff1253.jpeg,grouped_dataset/group_22/f1d30aa1-fc59-4c3a-94cd-e95e5eff1253.jpeg
